Name,LUMO ren (output),LUMO ren (output)_forecasted,LUMO ren (output)_residual,Gap_PBE,Gap_B3LYP,avgempty(eV-1),inv((LUMO+4)-LUMO),inv((LUMO+3)-LUMO),inv((LUMO+2)-LUMO),inv((LUMO+1)-LUMO)
C82-C3v-7,4.131,3.5243563966752802,0.60664360332472,103.4,770.0,0.4212256255,0.5711704311,0.7735839947,0.7889613663,1.0853983899
C82-Cs-4,-30.82,-28.70859155144396,-2.111408448556041,680.4,1451.5,0.7029371048,0.7712836046,0.949760489,1.4304359999,4.6557691871
C84-C2v-7,-25.58,-28.66943270555933,3.0894327055593322,414.2,1172.3,0.8144220372,0.6132389463,0.8701408928,1.4174823327,7.3296534662
C84-Cs-15,-30.9,-32.224216913042994,1.3242169130429957,655.3,1426.5,0.6868820081,0.7836835136,0.835321625,2.5500838313,3.2843233358
C84-D2-21,-27.31,-22.580460475941443,-4.729539524058556,511.3,1241.8,0.6651192394,0.6239066897,0.8034277403,1.8526018915,4.0787517225
C84-D2d-23,-29.6,-32.22869890304174,2.6286989030417374,1068.8,1936.4,0.5830037945,0.8743754563,0.9273013345,2.9164999899,0.0
C84-D3d-19,-12.9,-16.238063256893646,3.338063256893646,408.5,1232.8,0.4691318259,0.8732311969,0.8736798842,0.9754348478,0.9765924186
C84-D6h-24,-36.73,-41.16644572645388,4.436445726453883,1330.7,2198.9,0.6223445767,0.9082278581,1.5316879736,2.5922121874,0.0
C84-Td-20,-39.1,-43.00525291489794,3.905252914897936,1570.7,2493.3,0.5650685626,1.2821113309,1.2836131331,0.0,0.0
C86-C1-13,-31.8,-25.853733444113168,-5.946266555886833,381.2,1091.4,0.7870931261,0.6023895089,0.8098818931,1.5431127247,6.7039194532
C86-C2-17,-24.9,-23.692574179400644,-1.2074258205993544,620.0,1408.6,0.5800293616,0.7892415143,0.9696894407,1.4470949091,2.1046956212
C86-C2v-10,-16.4,-18.781460583603764,2.381460583603765,357.1,1017.1,0.5820467898,0.646264706,0.934588565,1.1134161981,2.7867358796
C86-D3-19,-37.3,-34.161313694921766,-3.138686305078231,360.9,964.3,0.9414801201,0.6016319973,0.6018033203,5.8035956897,5.8206715247
C88-C1-81729-NZ,-7.6,-9.349186333114364,1.7491863331143644,268.7,927.6,0.5568691308,0.5367025861,0.8176647822,0.9273286358,3.2811097254
C88-C2-81730-NZ,0.3,1.0983381477147525,-0.7983381477147524,90.8,632.4,0.4485022833,0.6176131426,0.7394960675,0.9053789673,1.2594015935
